spot,count,satis,urban
36040,28,0.346153846,전라남도나주시
31220,28,0.25,경기도안성시
36410,28,0.423076923,전라남도영암군
25050,28,0.166666667,대전광역시대덕구
26030,28,0.111111111,울산광역시동구
38390,28,0.222222222,경상남도거창군
33330,27,0.260869565,충청북도옥천군
33350,27,0.12,충청북도진천군
31050,27,0.04,경기도부천시
37410,27,0.4,경상북도봉화군
37080,26,0.105263158,경상북도상주시
32320,25,0.166666667,강원도횡성군
37310,25,0.181818182,경상북도군위군
21020,25,0.222222222,부산광역시서구
33340,25,0.095238095,충청북도영동군
38380,24,0.125,경상남도함양군
31060,24,0.368421053,경기도광명시
33370,24,0.1,충청북도음성군
31150,23,0.181818182,경기도시흥시
21110,23,0.25,부산광역시금정구
31350,22,0.333333333,경기도연천군
11210,22,0.3125,서울특별시관악구
35060,22,0.428571429,전라북도김제시
24040,22,0.473684211,광주광역시북구
31070,21,0.166666667,경기도평택시
31020,20,0.352941176,경기도성남시
21070,20,0.294117647,부산광역시남구
11220,20,0.4,서울특별시서초구
32360,17,0.4375,강원도철원군
37380,16,0.153846154,경상북도성주군
34350,16,0.428571429,충청남도청양군
11050,15,0.357142857,서울특별시광진구
26010,15,0.363636364,울산광역시중구
37320,15,0,경상북도의성군
31030,14,0.181818182,경기도의정부시
31180,14,0.545454545,경기도하남시
31080,14,0.25,경기도동두천시
11160,14,0,서울특별시강서구
11130,14,0.142857143,서울특별시서대문구
23070,13,0.333333333,인천광역시계양구
38320,13,0.384615385,경상남도함안군
32370,13,0.181818182,강원도화천군
37370,12,0.083333333,경상북도고령군
26040,12,0.444444444,울산광역시북구
32380,12,0.181818182,강원도양구군
31120,12,0.181818182,경기도구리시
31040,11,0.222222222,경기도안양시
11090,11,0.222222222,서울특별시강북구
37400,11,0.166666667,경상북도예천군
37430,11,0,경상북도울릉군
25010,10,0.111111111,대전광역시동구
23060,10,0.142857143,인천광역시부평구
21080,9,0.166666667,부산광역시북구
34070,9,0.625,충청남도계룡시
37390,9,0.111111111,경상북도칠곡군
11100,8,0.375,서울특별시도봉구
21120,8,0.571428571,부산광역시강서구
38310,7,0,경상남도의령군
21150,7,0.166666667,부산광역시사상구
31170,7,0.142857143,경기도의왕시
22050,7,0.285714286,대구광역시북구
11250,7,0.142857143,서울특별시강동구
21030,6,0,부산광역시동구
22040,6,0,대구광역시남구
11110,6,0,서울특별시노원구
11120,6,0.166666667,서울특별시은평구
31140,6,0,경기도오산시
11040,6,0.25,서울특별시성동구
22030,5,0.5,대구광역시서구
11200,4,0.5,서울특별시동작구
23080,4,0.333333333,인천광역시서구
11080,4,0.333333333,서울특별시성북구
31160,4,0.25,경기도군포시
33390,3,0,충청북도증평군
11170,2,0.5,서울특별시구로구
21130,2,0,부산광역시연제구
23020,2,0,인천광역시동구
23030,1,0,인천광역시남구
11150,1,0,서울특별시양천구
37340,1,1,경상북도영양군
25000,1,1,대전광역시
