D_TRA1_1_SPOT1,A1,A3_1,A3_4,A3_6,A3_11,A3_15,A3_19,A3_21,A6_4,D_TRA1_S_Day,A10A,A10F,A3sum,D_TRA1_SMONTH_8.0,A2_1_1.0,A2_1_10.0,A2_1_14.0,A2_1_3.0,A2_1_8.0,A4_1_6.0,A4_1_7.0,A4_1_9.0,BARA_11,BARA_21,BARA_22,BARA_23,BARA_24,BARA_26,BARA_29,BARA_32,BARA_33,BARA_35,BARA_36,BARA_37,BARA_39
31180.0,0.0,0.6363636363636364,0.09090909090909091,0.45454545454545453,0.0,0.09090909090909091,0.0,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0,3818.181818181818,2.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.45454545454545453,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
31190.0,0.07746478873239436,0.4014084507042254,0.06338028169014084,0.2676056338028169,0.035211267605633804,0.014084507042253521,0.0,0.007042253521126761,0.02112676056338028,0.2535211267605634,6302.6760563380285,46466.126760563384,2.0704225352112675,0.07746478873239436,0.2112676056338028,0.028169014084507043,0.056338028169014086,0.014084507042253521,0.007042253521126761,0.014084507042253521,0.3028169014084507,0.0,0.34507042253521125,0.007042253521126761,0.007042253521126761,0.08450704225352113,0.007042253521126761,0.02112676056338028,0.007042253521126761,0.035211267605633804,0.056338028169014086,0.04225352112676056,0.007042253521126761,0.028169014084507043,0.0
31200.0,0.013513513513513514,0.7702702702702703,0.12162162162162163,0.4864864864864865,0.05405405405405406,0.013513513513513514,0.0,0.02702702702702703,0.013513513513513514,0.16216216216216217,1621.6216216216217,9405.135135135135,2.324324324324324,0.12162162162162163,0.1891891891891892,0.013513513513513514,0.08108108108108109,0.05405405405405406,0.10810810810810811,0.0,0.20270270270270271,0.0,0.3108108108108108,0.0,0.013513513513513514,0.28378378378378377,0.0,0.0,0.04054054054054054,0.02702702702702703,0.02702702702702703,0.0,0.02702702702702703,0.013513513513513514,0.0
31210.0,0.13043478260869565,0.5217391304347826,0.0,0.5652173913043478,0.17391304347826086,0.0,0.0,0.0,0.0,0.30434782608695654,21673.91304347826,32043.91304347826,2.4782608695652173,0.0,0.2608695652173913,0.0,0.0,0.17391304347826086,0.08695652173913043,0.0,0.30434782608695654,0.0,0.30434782608695654,0.0,0.043478260869565216,0.17391304347826086,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0
31220.0,0.08333333333333333,0.5833333333333334,0.08333333333333333,0.375,0.08333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,9166.666666666666,14687.5,2.25,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.041666666666666664,0.25,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0
31230.0,0.03225806451612903,0.5161290322580645,0.0967741935483871,0.6129032258064516,0.0,0.03225806451612903,0.0,0.0,0.0,0.3225806451612903,2741.935483870968,8000.0,2.032258064516129,0.0967741935483871,0.03225806451612903,0.0,0.0967741935483871,0.0967741935483871,0.16129032258064516,0.0,0.12903225806451613,0.03225806451612903,0.41935483870967744,0.0,0.0,0.22580645161290322,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903
31240.0,0.0,0.6181818181818182,0.03636363636363636,0.34545454545454546,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,0.05454545454545454,0.2909090909090909,0.0,8054.727272727273,1.981818181818182,0.09090909090909091,0.07272727272727272,0.01818181818181818,0.05454545454545454,0.14545454545454545,0.10909090909090909,0.0,0.3090909090909091,0.0,0.14545454545454545,0.0,0.0,0.2,0.01818181818181818,0.0,0.03636363636363636,0.01818181818181818,0.0,0.0,0.0,0.03636363636363636,0.0
31250.0,0.047619047619047616,0.7142857142857143,0.015873015873015872,0.47619047619047616,0.06349206349206349,0.0,0.0,0.0,0.047619047619047616,0.2222222222222222,5698.412698412699,16650.15873015873,1.9682539682539681,0.06349206349206349,0.15873015873015872,0.015873015873015872,0.15873015873015872,0.1111111111111111,0.047619047619047616,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.14285714285714285,0.015873015873015872,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0
31260.0,0.0,0.7352941176470589,0.029411764705882353,0.5294117647058824,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.14705882352941177,0.0,6338.235294117647,2.2941176470588234,0.058823529411764705,0.17647058823529413,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0,0.23529411764705882,0.0,0.3235294117647059,0.0,0.0,0.20588235294117646,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
31270.0,0.015503875968992248,0.751937984496124,0.007751937984496124,0.6201550387596899,0.015503875968992248,0.0,0.0,0.007751937984496124,0.05426356589147287,0.2558139534883721,2356.5891472868216,13705.503875968992,2.4031007751937983,0.09302325581395349,0.16279069767441862,0.0,0.06201550387596899,0.10852713178294573,0.08527131782945736,0.0,0.4108527131782946,0.0,0.5193798449612403,0.015503875968992248,0.007751937984496124,0.12403100775193798,0.0,0.0,0.0,0.015503875968992248,0.007751937984496124,0.0,0.0,0.007751937984496124,0.0
31280.0,0.0,0.625,0.0625,0.5625,0.0625,0.0,0.0,0.0,0.0,0.1875,0.0,14487.8125,2.3125,0.03125,0.09375,0.0,0.09375,0.03125,0.09375,0.0,0.25,0.0,0.34375,0.03125,0.0,0.15625,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0
31350.0,0.0,0.9047619047619048,0.14285714285714285,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.0,0.2857142857142857,0.0,26525.238095238095,2.6666666666666665,0.19047619047619047,0.14285714285714285,0.0,0.09523809523809523,0.14285714285714285,0.0,0.047619047619047616,0.38095238095238093,0.0,0.3333333333333333,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
